ConsumerRecord(topic='OND', partition=0, offset=5, timestamp=1650521804034, timestamp_type=0, key=None, value=b'39.5', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=6, timestamp=1650521805141, timestamp_type=0, key=None, value=b'40.35', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=7, timestamp=1650521806247, timestamp_type=0, key=None, value=b'39.57', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=8, timestamp=1650521807354, timestamp_type=0, key=None, value=b'39.78', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=9, timestamp=1650521808459, timestamp_type=0, key=None, value=b'39.59', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=10, timestamp=1650521809565, timestamp_type=0, key=None, value=b'39.07', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=11, timestamp=1650521810671, timestamp_type=0, key=None, value=b'39.11', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=12, timestamp=1650521811777, timestamp_type=0, key=None, value=b'39.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=13, timestamp=1650521812882, timestamp_type=0, key=None, value=b'39.14', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=14, timestamp=1650521813988, timestamp_type=0, key=None, value=b'39.09', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=15, timestamp=1650521815094, timestamp_type=0, key=None, value=b'39.16', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=16, timestamp=1650521816200, timestamp_type=0, key=None, value=b'39.08', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=17, timestamp=1650521817327, timestamp_type=0, key=None, value=b'39.05', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=18, timestamp=1650521818433, timestamp_type=0, key=None, value=b'39.23', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=19, timestamp=1650521819539, timestamp_type=0, key=None, value=b'39.26', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=20, timestamp=1650521820644, timestamp_type=0, key=None, value=b'39.32', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=21, timestamp=1650521821750, timestamp_type=0, key=None, value=b'39.32', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=22, timestamp=1650521822855, timestamp_type=0, key=None, value=b'39.28', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=23, timestamp=1650521823961, timestamp_type=0, key=None, value=b'39.35', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=24, timestamp=1650521825066, timestamp_type=0, key=None, value=b'39.38', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=25, timestamp=1650521826172, timestamp_type=0, key=None, value=b'39.39', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=26, timestamp=1650521827277, timestamp_type=0, key=None, value=b'39.39', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=27, timestamp=1650521828386, timestamp_type=0, key=None, value=b'39.77', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=28, timestamp=1650521829491, timestamp_type=0, key=None, value=b'39.731', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=29, timestamp=1650521830598, timestamp_type=0, key=None, value=b'39.93', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=30, timestamp=1650521831704, timestamp_type=0, key=None, value=b'39.711', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=31, timestamp=1650521832809, timestamp_type=0, key=None, value=b'39.73', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=32, timestamp=1650521833915, timestamp_type=0, key=None, value=b'39.68', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=33, timestamp=1650521835021, timestamp_type=0, key=None, value=b'39.52', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=34, timestamp=1650521836127, timestamp_type=0, key=None, value=b'39.54', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=35, timestamp=1650521837232, timestamp_type=0, key=None, value=b'39.3', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=36, timestamp=1650521838338, timestamp_type=0, key=None, value=b'39.12', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=37, timestamp=1650521839444, timestamp_type=0, key=None, value=b'39.0', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=38, timestamp=1650521840550, timestamp_type=0, key=None, value=b'39.06', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=39, timestamp=1650521841655, timestamp_type=0, key=None, value=b'38.99', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=40, timestamp=1650521842761, timestamp_type=0, key=None, value=b'38.81', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=41, timestamp=1650521843868, timestamp_type=0, key=None, value=b'38.83', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=42, timestamp=1650521844974, timestamp_type=0, key=None, value=b'38.94', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=43, timestamp=1650521846080, timestamp_type=0, key=None, value=b'38.97', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=44, timestamp=1650521847186, timestamp_type=0, key=None, value=b'38.97', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=45, timestamp=1650521848291, timestamp_type=0, key=None, value=b'38.9', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=46, timestamp=1650521849397, timestamp_type=0, key=None, value=b'38.88', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=47, timestamp=1650521850502, timestamp_type=0, key=None, value=b'38.87', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=48, timestamp=1650521851608, timestamp_type=0, key=None, value=b'38.86', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=49, timestamp=1650521852713, timestamp_type=0, key=None, value=b'39.96', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=50, timestamp=1650521853819, timestamp_type=0, key=None, value=b'40.0', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=51, timestamp=1650521854925, timestamp_type=0, key=None, value=b'40.2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=52, timestamp=1650521856030, timestamp_type=0, key=None, value=b'40.22', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=53, timestamp=1650521857137, timestamp_type=0, key=None, value=b'40.13', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=54, timestamp=1650521858242, timestamp_type=0, key=None, value=b'40.09', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='OND', partition=0, offset=55, timestamp=1650521859348, timestamp_type=0, key=None, value=b'40.05', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
