ConsumerRecord(topic='CACG', partition=0, offset=4, timestamp=1650521802921, timestamp_type=0, key=None, value=b'47.19', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=5, timestamp=1650521804027, timestamp_type=0, key=None, value=b'47.19', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=6, timestamp=1650521805133, timestamp_type=0, key=None, value=b'47.145', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=7, timestamp=1650521806239, timestamp_type=0, key=None, value=b'47.2', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=8, timestamp=1650521807345, timestamp_type=0, key=None, value=b'47.2101', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=7, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=9, timestamp=1650521808451, timestamp_type=0, key=None, value=b'47.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=10, timestamp=1650521809556, timestamp_type=0, key=None, value=b'47.24', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=11, timestamp=1650521810662, timestamp_type=0, key=None, value=b'47.23', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=12, timestamp=1650521811768, timestamp_type=0, key=None, value=b'47.23', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=13, timestamp=1650521812874, timestamp_type=0, key=None, value=b'47.23', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=14, timestamp=1650521813979, timestamp_type=0, key=None, value=b'47.23', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=15, timestamp=1650521815085, timestamp_type=0, key=None, value=b'47.22', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=16, timestamp=1650521816191, timestamp_type=0, key=None, value=b'47.31', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=17, timestamp=1650521817318, timestamp_type=0, key=None, value=b'47.31', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=18, timestamp=1650521818424, timestamp_type=0, key=None, value=b'47.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=19, timestamp=1650521819530, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=20, timestamp=1650521820635, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=21, timestamp=1650521821741, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=22, timestamp=1650521822846, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=23, timestamp=1650521823952, timestamp_type=0, key=None, value=b'47.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=24, timestamp=1650521825057, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=25, timestamp=1650521826163, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=26, timestamp=1650521827268, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=27, timestamp=1650521828374, timestamp_type=0, key=None, value=b'47.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=28, timestamp=1650521829479, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=29, timestamp=1650521830586, timestamp_type=0, key=None, value=b'47.2011', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=7, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=30, timestamp=1650521831692, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=31, timestamp=1650521832797, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=32, timestamp=1650521833903, timestamp_type=0, key=None, value=b'47.33', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=33, timestamp=1650521835008, timestamp_type=0, key=None, value=b'47.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=34, timestamp=1650521836113, timestamp_type=0, key=None, value=b'47.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=35, timestamp=1650521837217, timestamp_type=0, key=None, value=b'47.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=36, timestamp=1650521838322, timestamp_type=0, key=None, value=b'47.31', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=37, timestamp=1650521839426, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=38, timestamp=1650521840531, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=39, timestamp=1650521841637, timestamp_type=0, key=None, value=b'47.28', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=40, timestamp=1650521842742, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=41, timestamp=1650521843850, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=42, timestamp=1650521844955, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=43, timestamp=1650521846060, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=44, timestamp=1650521847166, timestamp_type=0, key=None, value=b'47.19', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=45, timestamp=1650521848271, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=46, timestamp=1650521849375, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=47, timestamp=1650521850480, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=48, timestamp=1650521851585, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=49, timestamp=1650521852691, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=50, timestamp=1650521853796, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=51, timestamp=1650521854902, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=52, timestamp=1650521856007, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=53, timestamp=1650521857114, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=54, timestamp=1650521858220, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=55, timestamp=1650521859325, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=56, timestamp=1650521860430, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=57, timestamp=1650521861535, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=58, timestamp=1650521862641, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=59, timestamp=1650521863746, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=60, timestamp=1650521864852, timestamp_type=0, key=None, value=b'47.27', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=61, timestamp=1650521865957, timestamp_type=0, key=None, value=b'47.34', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=62, timestamp=1650521867063, timestamp_type=0, key=None, value=b'47.36', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=63, timestamp=1650521868168, timestamp_type=0, key=None, value=b'47.36', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=64, timestamp=1650521869273, timestamp_type=0, key=None, value=b'47.36', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=65, timestamp=1650521870381, timestamp_type=0, key=None, value=b'47.36', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=66, timestamp=1650521871486, timestamp_type=0, key=None, value=b'47.36', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=67, timestamp=1650521872592, timestamp_type=0, key=None, value=b'47.25', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=68, timestamp=1650521873697, timestamp_type=0, key=None, value=b'47.2383', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=7, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=69, timestamp=1650521874803, timestamp_type=0, key=None, value=b'47.2699', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=7, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=70, timestamp=1650521875908, timestamp_type=0, key=None, value=b'47.42', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=71, timestamp=1650521877013, timestamp_type=0, key=None, value=b'47.375', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=72, timestamp=1650521878119, timestamp_type=0, key=None, value=b'47.39', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=73, timestamp=1650521879225, timestamp_type=0, key=None, value=b'47.553', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=6, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=74, timestamp=1650521880330, timestamp_type=0, key=None, value=b'47.41', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=75, timestamp=1650521881435, timestamp_type=0, key=None, value=b'47.42', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=76, timestamp=1650521882540, timestamp_type=0, key=None, value=b'47.56', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='CACG', partition=0, offset=77, timestamp=1650521883648, timestamp_type=0, key=None, value=b'47.74', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
