ConsumerRecord(topic='AXAS', partition=0, offset=4, timestamp=1650521802951, timestamp_type=0, key=None, value=b'255', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=5, timestamp=1650521804058, timestamp_type=0, key=None, value=b'100', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=6, timestamp=1650521805164, timestamp_type=0, key=None, value=b'100', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=7, timestamp=1650521806270, timestamp_type=0, key=None, value=b'6872', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=8, timestamp=1650521807377, timestamp_type=0, key=None, value=b'12017', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=9, timestamp=1650521808483, timestamp_type=0, key=None, value=b'106', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=10, timestamp=1650521809588, timestamp_type=0, key=None, value=b'100', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=11, timestamp=1650521810694, timestamp_type=0, key=None, value=b'14152', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=12, timestamp=1650521811800, timestamp_type=0, key=None, value=b'10100', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=13, timestamp=1650521812906, timestamp_type=0, key=None, value=b'11338', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=14, timestamp=1650521814012, timestamp_type=0, key=None, value=b'10809', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=5, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=15, timestamp=1650521815118, timestamp_type=0, key=None, value=b'595', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=16, timestamp=1650521816225, timestamp_type=0, key=None, value=b'918', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=17, timestamp=1650521817352, timestamp_type=0, key=None, value=b'455', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=18, timestamp=1650521818458, timestamp_type=0, key=None, value=b'1016', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=19, timestamp=1650521819564, timestamp_type=0, key=None, value=b'1945', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=4, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=20, timestamp=1650521820669, timestamp_type=0, key=None, value=b'259', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=21, timestamp=1650521821775, timestamp_type=0, key=None, value=b'200', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=22, timestamp=1650521822880, timestamp_type=0, key=None, value=b'216', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=23, timestamp=1650521823986, timestamp_type=0, key=None, value=b'105', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=24, timestamp=1650521825092, timestamp_type=0, key=None, value=b'144', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
ConsumerRecord(topic='AXAS', partition=0, offset=25, timestamp=1650521826198, timestamp_type=0, key=None, value=b'100', headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=3, serialized_header_size=-1)
