OGCP,OHLC.O,342,200498
ONBPO,OHLC.O,644,235585
BNE,OHLC.B,971,326354
BREZR,OHLC.B,1917,512821
ONEO,OHLC.O,740,111496
OFSSH,OHLC.O,413,58175
OFED,OHLC.O,997,153856
NZRO,OHLC.N,177,206792
ONYXU,OHLC.O,780,131990
CDX,OHLC.C,296,215734
CBRG,OHLC.C,184,190594
VEGN,OHLC.V,3460,685915
BNOV,OHLC.B,2367,354014
BWAQU,OHLC.B,224,67101
XRLV,OHLC.X,908,363658
OLIT,OHLC.O,122,27267
WINN,OHLC.W,478,283534
BYTE,OHLC.B,655,174087
BNDD,OHLC.B,14264,2222176
WNDY,OHLC.W,661,90571
BSBE,OHLC.B,1869,255224
CAS.U,OHLC.C,584,117697
OPOF,OHLC.O,1075,173452
OCAXU,OHLC.O,601,67452
BOCNU,OHLC.B,833,129780
VIRS,OHLC.V,458,93339
OACB,OHLC.O,11838,1756426
CEFA,OHLC.C,299,48600
ONBPP,OHLC.O,606,83312
WBIT,OHLC.W,996,156520
BNNRU,OHLC.B,2003,286343
BOC,OHLC.B,5159,843192
BUFG,OHLC.B,5304,887374
BTHM,OHLC.B,510,142462
BNIXR,OHLC.B,391,114578
ORIAU,OHLC.O,653,123007
ONG,OHLC.O,2046,393878
OALC,OHLC.O,946,153369
CCZ,OHLC.C,599,126164
BOB,OHLC.B,783,138926
CEFD,OHLC.C,1217,186875
CCTSU,OHLC.C,738,131769
BSJS,OHLC.B,1551,236557
BOCT,OHLC.B,2841,525319
VENA,OHLC.V,4965,972194
OCTZ,OHLC.O,390,83650
OHAAU,OHLC.O,1170,200006
BWBBP,OHLC.B,418,78477
BYNOU,OHLC.B,757,175690
BRD.U,OHLC.B,500,131189
BRIVU,OHLC.B,1270,324740
BYN.U,OHLC.B,785,224880
BUFF,OHLC.B,4297,979738
BWAQ,OHLC.B,95,18651
BNOX,OHLC.B,989,184275
OBND,OHLC.O,246,64502
OHPA,OHLC.O,1346,289973
BRLI,OHLC.B,651,127612
VTIQU,OHLC.V,3153,466481
BNSO,OHLC.B,5307,841372
VELOU,OHLC.V,2361,402499
BRPMU,OHLC.B,1651,290950
VELO,OHLC.V,6481,941853
AXAS,OHLC.A,13944,2427117
CDZIP,OHLC.C,1928,274478
TMFM,OHLC.T,1381,358850
BSGAR,OHLC.B,1424,276787
BUFB,OHLC.B,406,76364
BOCN,OHLC.B,118,37900
CCNEP,OHLC.C,790,145595
IFMK,OHLC.I,12038,1888926
VENAU,OHLC.V,472,83523
BSAQ,OHLC.B,1971,294476
OBT,OHLC.O,1267,269358
OCIO,OHLC.O,547,96074
BWAQR,OHLC.B,79,37027
OACB.U,OHLC.O,828,121149
BNIX,OHLC.B,337,73712
TMAC.U,OHLC.T,846,176538
BUYZ,OHLC.B,2507,396549
CCAI,OHLC.C,372,62238
BOAS,OHLC.B,4088,564841
CACG,OHLC.C,3729,626369
OBCI,OHLC.O,5011,750586
BNDC,OHLC.B,2837,390571
BNGE,OHLC.B,131,54810
BYTSU,OHLC.B,750,104695
OND,OHLC.O,563,100654
BSJR,OHLC.B,4681,720586
OBOR,OHLC.O,999,190490
BOAC.U,OHLC.B,2080,273648
VEGI,OHLC.V,13126,1878124
BSMU,OHLC.B,627,106151
TMPMU,OHLC.T,266,32422
VLU,OHLC.V,4518,740496
BOAS.U,OHLC.B,1406,231531
BSKY,OHLC.B,1505,222018
VEL,OHLC.V,9465,1441488
OACP,OHLC.O,162,40848
VENAR,OHLC.V,3995,567426
CBLS,OHLC.C,362,68542
BSGAU,OHLC.B,936,158489
BUL,OHLC.B,932,115352
BNNR,OHLC.B,715,125919
OCC,OHLC.O,5857,947414
AAPL,OHLC.A,205540,27857186
