timestamp,open,high,low,close,volume,trade_count,vwap
2021-09-08 14:46:00+00:00,9.89,9.89,9.89,9.89,679119,8,9.890001
2021-09-08 14:47:00+00:00,9.89,9.8921,9.89,9.89,17900,14,9.890018
2021-09-08 14:48:00+00:00,9.89,9.9,9.89,9.89,11343,15,9.890088
2021-09-08 14:49:00+00:00,9.885,9.885,9.88,9.88,5700,4,9.880614
2021-09-08 14:50:00+00:00,9.885,9.89,9.88,9.88,264000,163,9.889163
2021-09-08 14:51:00+00:00,9.88,9.89,9.88,9.885,51533,41,9.889777
2021-09-08 14:52:00+00:00,9.885,9.89,9.88,9.88,478812,176,9.880952
2021-09-08 14:53:00+00:00,9.875,9.88,9.875,9.88,25300,13,9.879941
2021-09-08 14:54:00+00:00,9.88,9.88,9.88,9.88,112489,29,9.88
2021-09-08 14:55:00+00:00,9.88,9.89,9.88,9.885,9200,16,9.883424
2021-09-08 14:56:00+00:00,9.885,9.885,9.885,9.885,8610,13,9.885
2021-09-08 14:57:00+00:00,9.885,9.885,9.885,9.885,5800,9,9.885
2021-09-08 14:58:00+00:00,9.885,9.885,9.885,9.885,3900,6,9.885
2021-09-08 14:59:00+00:00,9.885,9.885,9.885,9.885,1800,3,9.885
2021-09-08 15:00:00+00:00,9.885,9.89,9.88,9.885,161938,170,9.888376
2021-09-08 15:01:00+00:00,9.885,9.885,9.885,9.885,26901,34,9.885
2021-09-08 15:02:00+00:00,9.885,9.885,9.885,9.885,2100,12,9.885
2021-09-08 15:03:00+00:00,9.885,9.885,9.885,9.885,1892,11,9.885243
2021-09-08 15:04:00+00:00,9.885,9.885,9.885,9.885,1900,11,9.885
2021-09-08 15:05:00+00:00,9.885,9.885,9.885,9.885,26851,25,9.884991
2021-09-08 15:06:00+00:00,9.885,9.885,9.885,9.885,1620,5,9.88506
2021-09-08 15:07:00+00:00,9.885,9.885,9.885,9.885,1400,3,9.885
2021-09-08 15:08:00+00:00,9.885,9.885,9.885,9.885,2000,3,9.885
2021-09-08 15:09:00+00:00,9.885,9.885,9.885,9.885,1350,4,9.885
2021-09-08 15:10:00+00:00,9.885,9.885,9.885,9.885,1500,2,9.885
2021-09-08 15:11:00+00:00,9.885,9.885,9.885,9.885,1500,2,9.885
2021-09-08 15:12:00+00:00,9.885,9.885,9.885,9.885,700,1,9.885
2021-09-08 15:13:00+00:00,9.885,9.885,9.885,9.885,1400,2,9.885
2021-09-08 15:14:00+00:00,9.885,9.885,9.885,9.885,700,1,9.885
2021-09-08 15:15:00+00:00,9.885,9.885,9.885,9.885,1500,3,9.885
2021-09-08 15:16:00+00:00,9.885,9.885,9.885,9.885,844,2,9.885
2021-09-08 15:17:00+00:00,9.885,9.885,9.885,9.885,1600,2,9.885
2021-09-08 15:18:00+00:00,9.885,9.885,9.885,9.885,600,1,9.885
2021-09-08 15:19:00+00:00,9.885,9.89,9.885,9.89,112721,99,9.889219
2021-09-08 15:20:00+00:00,9.89,9.895,9.89,9.895,2334,9,9.893213
2021-09-08 15:21:00+00:00,9.895,9.9,9.895,9.895,5700,22,9.895614
2021-09-08 15:22:00+00:00,9.895,9.895,9.895,9.895,1500,2,9.895
2021-09-08 15:23:00+00:00,9.895,9.9,9.895,9.895,6021,14,9.895848
2021-09-08 15:24:00+00:00,9.895,9.895,9.895,9.895,1300,2,9.895
2021-09-08 15:25:00+00:00,9.895,9.895,9.895,9.895,2800,4,9.895
